feature,coefficient
cuisine_type_South Indian,0.11988941355746402
city_Bangalore,0.08116885867172301
cuisine_type_Desserts,-0.06464702673278584
payment_mode_UPI,0.06432284965490644
city_Mumbai,-0.060367494104717645
city_Delhi,0.05930982296101654
city_Hyderabad,-0.05760993356140928
discount_amount,0.049773076731314696
coupon_used_No,0.047089523938882445
campaign_type_Email,0.046824997628738554
coupon_used_Yes,-0.04282268346603455
cuisine_type_Fast Food,-0.0351690845997843
campaign_type_Paid Ads,-0.032953833317863376
payment_mode_COD,-0.028830596831883007
age,0.027195094163822885
payment_mode_Wallet,-0.02571502421965157
city_Pune,-0.02020844414178446
city_Chennai,0.01648846841189423
cuisine_type_Italian,-0.016408667277551636
campaign_type_Influencer,-0.015768679365093727
cuisine_type_Chinese,0.014811198661783136
city_Kolkata,-0.01451443776387443
cuisine_type_North Indian,-0.014208993136277317
channel_Instagram,0.012502735188496216
gold_member_Yes,0.011289792242828124
channel_App Push,-0.009450250411980398
delivery_time_mins,-0.009365753678495261
gold_member_No,-0.007022951769979761
campaign_type_Push Notification,0.0061643555270667226
payment_mode_Card,-0.005510388130523836
orders_last_30_days,-0.005445207575616973
channel_Email,0.0037808672376780615
avg_order_value,0.003172776915909151
churn_risk_score,0.0026412203872347244
channel_Google,-0.002566511541346154
order_value,-0.0014432235077865853
